City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,8.05,mist
1,Hobyo,SO,5.3505,48.5268,80.4,79,100,26.04,overcast clouds
2,Tukrah,LY,32.5341,20.5791,64.18,91,0,6.82,clear sky
3,Sitka,US,57.0531,-135.33,61.45,52,1,5.23,clear sky
4,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,73,9,10.87,clear sky
5,Port Alfred,ZA,-33.5906,26.891,58.87,76,54,5.12,broken clouds
6,Port Keats,AU,-14.25,129.55,73.13,44,47,10.49,scattered clouds
7,Souillac,MU,-20.5167,57.5167,73.78,73,20,8.05,few clouds
8,Sampit,ID,-2.5333,112.95,74.7,95,100,1.95,overcast clouds
9,Kahului,US,20.8947,-156.47,78.13,72,20,9.08,few clouds
10,Cherskiy,RU,68.75,161.3,53.56,49,29,16.44,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,13.8,clear sky
12,Yellowknife,CA,62.456,-114.3525,54.12,54,75,8.05,light rain
13,Yarada,IN,17.65,83.2667,86.32,74,75,9.22,mist
14,Havoysund,NO,70.9963,24.6622,43.03,78,30,2.62,scattered clouds
15,Port Lincoln,AU,-34.7333,135.8667,58.33,81,1,9.75,clear sky
16,Uvira,CD,-3.4067,29.1458,73.17,71,97,1.59,overcast clouds
17,Nanortalik,GL,60.1432,-45.2371,40.21,76,55,10.56,broken clouds
18,Ushuaia,AR,-54.8,-68.3,42.46,70,0,2.3,clear sky
19,Magadan,RU,59.5667,150.8,40.53,92,98,6.29,overcast clouds
20,Vaini,TO,-21.2,-175.2,77.16,83,40,4.61,scattered clouds
21,Tingi,TZ,-11.3,35.0333,60.55,87,13,3.76,few clouds
22,Rikitea,PF,-23.1203,-134.9692,75.38,74,9,7.94,clear sky
23,Atambua,ID,-9.1061,124.8925,70.65,87,27,4.61,scattered clouds
24,Zehdenick,DE,52.9785,13.3317,60.01,80,10,9.69,clear sky
25,Carnarvon,AU,-24.8667,113.6333,70.9,65,100,9.1,overcast clouds
26,Dikson,RU,73.5069,80.5464,25.11,96,94,7.36,overcast clouds
27,Pasighat,IN,28.0667,95.3333,70.97,93,75,3.36,broken clouds
28,Khatanga,RU,71.9667,102.5,35.2,98,99,4.81,overcast clouds
29,Thompson,CA,55.7435,-97.8558,50.16,25,0,12.66,clear sky
30,Abha,SA,18.2164,42.5053,75.02,20,0,5.75,clear sky
31,Xichang,CN,27.8964,102.2634,57.76,91,100,3.33,overcast clouds
32,Quatre Cocos,MU,-20.2078,57.7625,73.51,68,4,12.26,clear sky
33,Busselton,AU,-33.65,115.3333,58.77,80,0,10.45,clear sky
34,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,86,5.99,overcast clouds
35,Half Moon Bay,US,37.4636,-122.4286,86.88,51,0,16.11,clear sky
36,Narsaq,GL,60.9167,-46.05,41.92,69,3,7.87,clear sky
37,Stromness,GB,58.965,-3.296,49.96,88,99,7.0,light rain
38,Haga,NL,52.0767,4.2986,56.95,80,89,1.14,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,45.79,96,100,9.53,moderate rain
40,Leirvik,NO,59.7798,5.5005,53.64,87,98,2.93,overcast clouds
41,Hermanus,ZA,-34.4187,19.2345,57.31,76,28,5.1,scattered clouds
42,Qaanaaq,GL,77.484,-69.3632,19.63,82,100,2.19,overcast clouds
43,Tiksi,RU,71.6872,128.8694,26.19,98,100,3.27,overcast clouds
44,Janakkala,FI,60.9,24.6,41.32,59,71,5.1,broken clouds
45,Kapaa,US,22.0752,-159.319,82.47,85,9,3.0,clear sky
46,Barrow,US,71.2906,-156.7887,23.02,86,100,10.36,mist
47,Chuy,UY,-33.6971,-53.4616,55.8,75,100,5.57,overcast clouds
48,Albany,US,42.6001,-73.9662,90.77,54,4,1.01,clear sky
49,Kaitangata,NZ,-46.2817,169.8464,47.43,91,100,14.25,overcast clouds
