City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-05-12 00:59:52,-54.8,-68.3,47.86,61,100,5.75
1,Punta Arenas,CL,2022-05-12 01:01:37,-53.15,-70.9167,42.12,81,100,7.7
2,Port Alfred,ZA,2022-05-12 01:02:33,-33.5906,26.891,59.7,80,0,5.68
3,Lillesand,NO,2022-05-12 01:02:33,58.2488,8.3778,48.24,76,40,10.36
4,Atuona,PF,2022-05-12 01:02:34,-9.8,-139.0333,79.11,74,25,19.62
5,Mount Gambier,AU,2022-05-12 01:02:35,-37.8333,140.7667,57.11,100,100,4.61
6,Sao Joao Da Barra,BR,2022-05-12 01:02:35,-21.6403,-41.0511,72.72,86,8,9.95
7,Kapaa,US,2022-05-12 01:02:36,22.0752,-159.319,82.38,80,70,8.01
8,Berezayka,RU,2022-05-12 01:02:37,57.9883,33.9036,47.71,84,100,4.43
9,Kodiak,US,2022-05-12 01:00:52,57.79,-152.4072,46.67,53,100,6.26
10,Fortuna,US,2022-05-12 01:02:37,40.5982,-124.1573,55.92,63,40,6.91
11,Namatanai,PG,2022-05-12 01:02:38,-3.6667,152.4333,85.59,67,42,7.47
12,Victoria,HK,2022-05-12 00:58:48,22.2855,114.1577,77.05,92,100,1.01
13,Pevek,RU,2022-05-12 01:02:39,69.7008,170.3133,27.97,91,100,14.05
14,Boguchar,RU,2022-05-12 01:02:39,49.9358,40.545,44.08,88,100,9.24
15,Lola,GN,2022-05-12 01:02:40,7.8,-8.5333,70.54,98,23,2.51
16,Rikitea,PF,2022-05-12 01:02:31,-23.1203,-134.9692,76.89,83,8,19.28
17,Pakaur,IN,2022-05-12 01:02:40,24.6333,87.85,83.71,73,10,8.75
18,Saint-Philippe,RE,2022-05-12 01:02:41,-21.3585,55.7679,71.19,83,71,7.61
19,Valdivia,CL,2022-05-12 01:02:42,-39.8142,-73.2459,50.27,94,100,1.88
20,Albany,US,2022-05-12 01:00:17,42.6001,-73.9662,64.89,43,1,1.19
21,Barrow,US,2022-05-12 01:02:42,71.2906,-156.7887,30.22,80,100,13.8
22,East London,ZA,2022-05-12 01:02:43,-33.0153,27.9116,60.1,76,0,5.61
23,Hobart,AU,2022-05-12 01:02:11,-42.8794,147.3294,57.25,91,75,4.61
24,Mataura,NZ,2022-05-12 01:02:44,-46.1927,168.8643,57.47,62,100,3.71
25,Coquimbo,CL,2022-05-12 01:02:44,-29.9533,-71.3436,56.82,88,95,2.28
26,Longido,TZ,2022-05-12 01:02:45,-2.7333,36.6833,62.47,79,78,6.96
27,Kalabo,ZM,2022-05-12 01:02:46,-14.97,22.6814,60.17,50,9,5.75
28,Port Elizabeth,ZA,2022-05-12 01:02:46,-33.918,25.5701,52.32,93,0,3.0
29,Olhao,PT,2022-05-12 01:02:47,37.0286,-7.8411,67.89,49,0,6.91
30,Andros Town,BS,2022-05-12 01:02:47,24.7,-77.7667,75.74,70,1,15.77
31,Bluff,NZ,2022-05-12 01:01:58,-46.6,168.3333,57.79,75,100,16.37
32,Bredasdorp,ZA,2022-05-12 01:02:48,-34.5322,20.0403,52.2,87,0,4.85
33,Tchibanga,GA,2022-05-12 01:02:48,-2.85,11.0333,71.85,98,100,0.96
34,Castro,BR,2022-05-12 00:59:56,-24.7911,-50.0119,53.44,89,0,2.13
35,Boralday,KZ,2022-05-12 01:02:48,43.3578,76.8594,53.46,94,75,0.0
36,Ayios Ioannis,CY,2022-05-12 01:02:49,34.8959,33.0204,54.14,49,0,2.62
37,Kieta,PG,2022-05-12 01:02:49,-6.2167,155.6333,85.5,61,35,4.68
38,Puerto Ayora,EC,2022-05-12 01:02:50,-0.7393,-90.3518,72.55,95,9,3.0
39,Cape Town,ZA,2022-05-12 01:01:24,-33.9258,18.4232,55.11,90,0,1.99
40,Norman Wells,CA,2022-05-12 01:02:50,65.282,-126.8329,44.74,55,100,5.12
41,Sabancuy,MX,2022-05-12 01:02:51,18.9667,-91.1833,75.88,73,43,8.9
42,Karratha,AU,2022-05-12 01:02:51,-20.7377,116.8463,79.3,38,27,7.56
43,Cherskiy,RU,2022-05-12 01:02:52,68.75,161.3,22.78,83,74,9.8
44,Lagoa,PT,2022-05-12 01:02:52,39.05,-27.9833,58.01,72,52,11.79
45,Luanda,AO,2022-05-12 01:01:16,-8.8368,13.2343,75.2,94,40,0.0
46,Arraial Do Cabo,BR,2022-05-12 01:02:53,-22.9661,-42.0278,74.48,79,12,3.83
47,Tuktoyaktuk,CA,2022-05-12 01:02:53,69.4541,-133.0374,36.55,80,91,11.92
48,Cidreira,BR,2022-05-12 01:03:54,-30.1811,-50.2056,60.75,84,9,13.02
49,Vaini,TO,2022-05-12 01:03:54,-21.2,-175.2,74.41,76,99,14.58
50,Mar Del Plata,AR,2022-05-12 01:01:28,-38.0023,-57.5575,53.94,73,100,8.99
51,Yellowknife,CA,2022-05-12 01:02:31,62.456,-114.3525,41.56,60,84,8.01
52,Qaanaaq,GL,2022-05-12 01:02:26,77.484,-69.3632,12.7,73,13,6.33
53,Vanimo,PG,2022-05-12 01:03:55,-2.6741,141.3028,82.63,81,100,4.92
54,Isangel,VU,2022-05-12 01:03:55,-19.55,169.2667,77.68,68,100,20.18
55,Avarua,CK,2022-05-12 01:03:56,-21.2078,-159.775,82.45,83,75,10.36
56,Longyearbyen,SJ,2022-05-12 01:02:11,78.2186,15.6401,17.44,79,0,11.5
57,Zeya,RU,2022-05-12 01:03:57,53.75,127.2667,42.44,71,100,3.62
58,Hilo,US,2022-05-12 01:00:48,19.7297,-155.09,83.28,89,20,5.01
59,San Mateo Del Mar,MX,2022-05-12 01:03:58,16.2,-95.0,87.4,58,14,28.23
60,Hermanus,ZA,2022-05-12 01:02:05,-34.4187,19.2345,56.25,79,0,6.49
61,Sitka,US,2022-05-12 01:03:16,57.0531,-135.33,50.05,59,98,1.1
62,Natal,BR,2022-05-12 01:03:36,-5.795,-35.2094,75.85,100,75,2.3
63,Tekeli,KZ,2022-05-12 01:03:58,44.83,78.8239,54.45,70,100,1.86
64,Calama,CL,2022-05-12 01:02:59,-22.4667,-68.9333,51.78,23,0,3.18
65,Port Lincoln,AU,2022-05-12 01:03:59,-34.7333,135.8667,62.67,70,6,3.04
66,New Norfolk,AU,2022-05-12 01:04:00,-42.7826,147.0587,56.91,66,100,1.57
67,Ponta Do Sol,PT,2022-05-12 01:04:00,32.6667,-17.1,68.0,81,31,6.78
68,Bilma,NE,2022-05-12 01:04:01,18.6853,12.9164,90.72,17,0,17.65
69,Atar,MR,2022-05-12 01:04:02,20.5169,-13.0499,89.58,20,57,6.42
70,Jamestown,US,2022-05-12 01:01:55,42.097,-79.2353,69.44,34,0,8.05
71,Olafsvik,IS,2022-05-12 01:04:02,64.8945,-23.7142,35.58,97,100,11.7
72,Shelburne,CA,2022-05-12 01:00:12,44.0787,-80.2041,64.6,76,0,5.59
73,Kandrian,PG,2022-05-12 01:04:03,-6.2167,149.55,87.8,66,100,6.73
74,Freeport,US,2022-05-12 01:04:04,40.6576,-73.5832,67.41,74,0,9.22
75,Muros,ES,2022-05-12 01:04:04,42.7762,-9.0603,61.09,81,100,9.26
76,Cabo San Lucas,MX,2022-05-12 01:03:01,22.8909,-109.9124,85.6,55,6,13.76
77,Busselton,AU,2022-05-12 01:01:53,-33.65,115.3333,53.02,92,100,10.51
78,Okhotsk,RU,2022-05-12 01:04:05,59.3833,143.3,34.86,87,100,2.98
79,Kaitangata,NZ,2022-05-12 01:04:06,-46.2817,169.8464,56.52,60,98,7.14
80,Tashtagol,RU,2022-05-12 01:04:06,52.7657,87.8894,47.32,38,8,4.76
81,Lebu,CL,2022-05-12 01:01:47,-37.6167,-73.65,53.49,74,100,8.55
82,Inta,RU,2022-05-12 01:04:07,66.0317,60.1659,42.48,76,1,3.67
83,Antequera,ES,2022-05-12 01:04:08,37.0194,-4.5612,60.94,63,100,7.36
84,Ostrovnoy,RU,2022-05-12 01:04:08,68.0531,39.5131,41.04,82,100,13.65
85,Carballo,ES,2022-05-12 01:04:09,43.213,-8.691,60.01,90,100,5.84
86,Great Bend,US,2022-05-12 01:04:10,38.3645,-98.7648,86.61,53,0,21.85
87,Beringovskiy,RU,2022-05-12 01:04:10,63.05,179.3167,37.9,87,44,5.84
88,Lavrentiya,RU,2022-05-12 01:04:11,65.5833,-171.0,34.61,98,100,6.22
89,Half Moon Bay,US,2022-05-12 01:04:12,37.4636,-122.4286,64.42,65,0,29.93
90,Buala,SB,2022-05-12 01:04:12,-8.145,159.5921,85.01,69,100,3.71
91,San Cristobal,VE,2022-05-12 01:00:11,7.7669,-72.225,67.77,93,84,3.13
92,Segezha,RU,2022-05-12 01:04:13,63.7415,34.3222,39.76,97,51,6.96
93,Gumdag,TM,2022-05-12 01:04:14,39.2061,54.5906,67.73,48,99,1.88
94,Astoria,US,2022-05-12 01:04:15,46.1879,-123.8313,51.6,83,100,9.22
95,Flin Flon,CA,2022-05-12 01:05:15,54.7682,-101.865,58.03,35,84,4.05
